step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,motor_0,motor_1,motor_2,motor_3
0,0.0,-0.4235084633033315,0.01507834540435134,0.2882849576203519,1.166835715173393,1.0505155780436604,1.764463586472964,0.9607296845803158,0.18072183797809538,0.07484344500604166,0.19681602877726662,-0.18665987746614474,-0.17110835244328587,-1.0353801186792558e-17,0.0,3.2501642390136007,0.0,0.0
1,0.002,-0.42233973488673826,0.0161264989482689,0.29004585347635436,1.1687284165932268,1.0481535439175595,1.7608958560024648,0.9607695936011821,0.1806001829720008,0.07466596176585105,0.19680029490699485,-0.315687955913159,-0.3048002919428932,-1.4272069675651262e-06,0.14639079281976097,2.539451409196795,0.0,0.14639079281976097
2,0.004,-0.42116911034485177,0.017172279269765004,0.291803252213029,1.1706245418865078,1.0457803214961023,1.7573987366746582,0.9608255235480562,0.1804321067126871,0.0744129260681241,0.1967772461434638,-0.4393201266884768,-0.4367404494987681,-5.726906988667535e-06,0.17673121611406062,2.5061838140520742,0.0,0.17673121611406062
3,0.006,-0.41999658805799334,0.01821567661597822,0.293557219480057,1.1725222868584095,1.0433973462132156,1.7539672670279693,0.9608968802582547,0.18021984761811402,0.07408561551391435,0.19674682617105088,-0.5579252698172494,-0.5670383665941507,-1.430062659444113e-05,0.20490101889051182,2.4750006728014515,0.0,0.2049010188905117
4,0.008,-0.41882216816973017,0.019256682578719046,0.29530781633029396,1.1744198882631929,1.0410059627408246,1.750596850236982,0.9609830849654564,0.17996548568366885,0.07368522351018203,0.19670897846608387,-0.6718465739902875,-0.6957959478838363,-2.8437495484388713e-05,0.23105147634331358,2.445756820901269,0.0,0.23105147634331358
5,0.01,-0.4176458525450732,0.020295290007746637,0.29705509956085896,1.1763156246569855,1.0386074290275926,1.7472832305650265,0.9610835733269332,0.17967095366030783,0.07321286519663897,0.19666364651767215,-0.781403153509404,-0.8231079429873697,-4.932645215741135e-05,0.2553243555873512,2.4183162671400984,0.0,0.2553243555873512
6,0.012,-0.4164676447283294,0.021331492928172966,0.2987991220319269,1.1782078167437886,1.0362029204263277,1.7440224710679182,0.9611977944081014,0.17933804750354998,0.07266958299787908,0.19661077399148355,-0.8868915792816072,-0.9490624027104773,-7.806710923723384e-05,0.2778524217433991,2.3925517046873477,0.0,0.2778524217433991
7,0.014,-0.4152875499010305,0.022365286462025916,0.300539932964446,1.1800948272989318,1.0337935338529483,1.7408109325190915,0.9613252096425347,0.17896843613611751,0.07205635182170214,0.1965503048455441,-0.9885873259342212,-1.0737411102994678,-0.00011567942165365461,0.298759931717147,2.368344034135145,0.0,0.298759931717147
8,0.016,-0.41410557484028726,0.023396666753956293,0.30227757821796636,1.181975060743226,1.0313802919303772,1.7376452535203761,0.9614652917824242,0.17856367056535996,0.07137408392390852,0.19648218340599324,-1.086746137488737,-1.1972199884448547,-0.0001631122855642768,0.3181631135352627,2.345581900570093,0.0,0.3181631135352627
9,0.018,-0.41292172787785597,0.024425630901036038,0.30401210054972444,1.1838469624313124,1.0289641470797442,1.7345223317580762,0.9616175238517686,0.17812519239486824,0.07062363345914072,0.19640635440971274,-1.1816053143143497,-1.3195694828368996,-0.00022125118221614205,0.336170629586132,2.324161246248371,0.0,0.336170629586132
10,0.02,-0.41173601886014694,0.02545217688656502,0.3057435398560851,1.185709017709054,1.0265459855289822,1.7314393063606637,0.9617813981122663,0.1776543417679094,0.06980580073659297,0.1963227630198509,-1.2733849242938047,-1.440854923140594,-0.00029092496869998884,0.3528840225326264,2.3039848800477327,0.0,0.3528840225326263
11,0.022,-0.4105484591093598,0.026476303517780485,0.30747193339739715,1.187559750787175,1.0241266312154649,1.7283935413120655,0.9619564150499187,0.1771523647785156,0.06892133619861969,0.19623135481947188,-1.3622889412839838,-1.5611368623036324,-0.0003729119065979456,0.3683981430266643,2.284962064522517,0.0,0.3683981430266644
12,0.024,-0.4093590613858882,0.02749801036734538,0.3091973160072702,1.1893977234716198,1.0217068495648964,1.7253826098730551,0.9621420823886782,0.17662042038426246,0.06797094413945998,0.19613207578786107,-1.4485063140508052,-1.6804713951410384,-0.0004679450097404475,0.38280155866409804,2.2670081210929665,0.0,0.38280155866409804
13,0.026,-0.408167839852103,0.028517297718478725,0.3109197202872327,1.191221533785188,1.0192873511333467,1.7224042799625088,0.9623379141360703,0.17605958685298928,0.06695528618047196,0.19602487226340362,-1.5322119689105698,-1.798910457156725,-0.0005767167835506441,0.3961769438797955,2.250044053650377,0.0,0.3961769438797955
14,0.028,-0.40697481003759317,0.029534166513581976,0.3126391767876828,1.193029814509824,1.0168687951032513,1.7194565004501317,0.9625434296645282,0.1754708677739599,0.0658749845174445,0.19590969089641247,-1.6135677493245706,-1.91650210456743,-0.000699883420655666,0.4086014507045006,2.2339961906475256,0.0,0.4086014507045006
15,0.03,-0.40577998880591876,0.03054861830620944,0.3143557141759954,1.1948212316744165,1.0144517926274632,1.7165373883125874,0.9627581528311827,0.1748551976622474,0.06473062495473564,0.19578647859480874,-1.6927232956773512,-2.0332907764902153,-0.0008380685104876298,0.4201470604872659,2.2187958455694803,0.0,0.4201470604872659
16,0.032,-0.40458339432290974,0.03156065521622758,0.31606935939260106,1.1965944830090252,1.0120369100181366,1.713645216605684,0.9629816111380215,0.17421344718346027,0.06352275974017978,0.19565518246514194,-1.7698168684271036,-2.149317540242771,-0.0009918663143936338,0.43088091683619,2.2043789955377284,0.0,0.43088091683619
17,0.034,-0.4033850460265267,0.03257027988800701,0.3177801377958074,1.198348296383038,1.0096246717794346,1.7107784032063014,0.9632133349336457,0.1735464280243144,0.06225191021391796,0.19551574975107427,-1.8449761177535198,-2.264620320687381,-0.00116184465224394,0.4408656401547162,2.1906859776813823,0.0,0.4408656401547162
18,0.036,-0.4021849645982849,0.03357749545149185,0.3194880732960864,1.2000814282418042,1.0072155634848425,1.707935500279024,0.9634528566572806,0.1728548974330024,0.06091856928353783,0.19536812777113607,-1.9183188027492672,-2.3792341145262017,-0.0013485474415988207,0.45015962424399225,2.177661202820387,0.0,0.45015962424399214
19,0.038,-0.4009831719362312,0.03458230548599315,0.3211931884805103,1.2017926620537416,1.0048100345012978,1.7051151844239019,0.9636997101252415,0.17213956245182066,0.05952320373716818,0.1952122638572827,-1.98995346310849,-2.493191190428149,-0.001552496926103683,0.45881731552131066,2.1652528859293123,0.0,0.45881731552131066
20,0.04,-0.39977969112945344,0.03558471398655663,0.3228955047279737,1.2034808067777316,1.0024085005634806,1.7023162474633624,0.9639534298596765,0.17140108386308767,0.058066256405457616,0.19504810529554212,-2.0599800461640028,-2.606521275837636,-0.001774195625869909,0.46688947545675474,2.1534127928005797,0.0,0.46688947545675474
21,0.042,-0.3985745464340947,0.03658472533275911,0.32459504231580166,1.2051446953587357,1.0000113462024791,1.6995375878279964,0.9642135504591123,0.1706400798680277,0.05654814818268004,0.19487559926983306,-2.1284904920151178,-2.7192517312829345,-0.002014128039114672,0.4744234268770793,2.142096002282038,0.0,0.4744234268770793
22,0.044,-0.3973677632508367,0.03758234425979281,0.32629182051830435,1.2067831832579805,0.9976189270336988,1.6967782025026963,0.9644796060100909,0.16985712951699786,0.05496927991655253,0.19469469280985113,-2.1955692793743387,-2.83140771296821,-0.0022727621212304586,0.48146328480843215,2.1312606834412966,0.0,0.48146328480843215
23,0.046,-0.396159368103814,0.038577575831702175,0.32798585769780075,1.2083951470227006,0.9952315719093636,1.6940371794964162,0.964751129539004,0.16905277590820833,0.05333003417572411,0.19450533274376305,-2.261293934643913,-2.9430123243985093,-0.0025505505646916085,0.48805017255009897,2.1208678869901574,0.0,0.48805017255009897
24,0.048,-0.3949493886209147,0.039570425416643455,0.32967717138860136,1.209979482899292,0.9928495849412773,1.6913136908006299,0.9650276525030933,0.16822752917092101,0.051630776903296774,0.19430746565631132,-2.3257355066151164,-3.0540867577519117,-0.0028479319007462213,0.4942224236764623,2.1108813502982655,0.0,0.4942224236764623
25,0.05,-0.39373785351542195,0.04056089866404317,0.33136577837440473,1.2115351054927708,0.9904732473997147,1.688606985803356,0.9653087043194837,0.16738186924801116,0.04987185896417385,0.19410103785281405,-2.3889590090644224,-3.164650425677772,-0.0031653314416512862,0.500015770667211,2.1012673153215213,0.0,0.500015770667211
26,0.052,-0.3925247925689473,0.04154900148353758,0.3330516947595321,1.213060946474637,0.9881028194944106,1.6859163851273915,0.9655938119310463,0.1665162484917369,0.04805361759349306,0.19388599532944162,-2.4510238334040793,-3.2747210841653485,-0.0035031620802604326,0.5054635208537845,2.0919943587837304,0.0,0.5054635208537845
27,0.054,-0.3913102366156067,0.042534740025581205,0.33473493603439525,1.2145559533405912,0.9857385420436248,1.6832412748631294,0.9658824994078447,0.16563109408558313,0.046176377752894314,0.19366228375006347,-2.511984133428669,-3.3843149470926197,-0.0038618249620395563,0.5105967203653725,2.083033233953607,0.0,0.5105967203653725
