step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,motor_0,motor_1,motor_2,motor_3
0,0.0,0.0,-6.608223786480635e-07,0.9999963210801556,0.0,-0.0006608223786480635,-0.003678919844391431,0.9996892814432481,0.024926703903292182,0.0,0.0,-0.14142809193613157,0.0,0.0,0.0,1.2312890510873549,1.2312890510873549,0.0
1,0.002,-2.5892030004706076e-08,-1.9115952105557297e-06,0.9999931435106153,-2.5892030004706075e-05,-0.0012507728319076663,-0.003177569540273045,0.9996914159216149,0.024840952192317606,5.176796967730705e-06,1.2908059291761924e-07,-0.17155654388503064,0.010356812001882263,-1.7576759506307423e-18,1.8032747115026915,0.1639401359231627,2.1639401359231627,0.0
2,0.004,-7.509203231603205e-08,-3.742442531928453e-06,0.999990434205961,-4.920000231132598e-05,-0.0018308473213727232,-0.002709304654334042,0.9996938838534831,0.024741430026281673,1.5035063928313956e-05,3.7460031722882867e-07,-0.19910552204429455,0.019722647773878606,7.939591401078844e-08,1.8190170361826232,0.15089508370309312,2.1478140669247954,0.0
3,0.006,-1.45105334731006e-07,-6.143850093446105e-06,0.9999881627295896,-7.001330241497394e-05,-0.0024014075615176518,-0.0022714763714328694,0.9996966517064364,0.024629326394524753,2.9116434893291298e-05,7.249147657105606e-07,-0.22427559179232448,0.028171456239141898,2.548701204155376e-07,1.8335455151808353,0.1388938812978564,2.1329226628110898,0.0
4,0.008,-2.3352285858561368e-07,-9.106641585520087e-06,0.9999863010838653,-8.841752385460767e-05,-0.0029627914920739816,-0.0018616457242612897,0.9996996882093981,0.02450573777655154,4.6996725865449536e-05,1.169298351996109e-06,-0.24725182979611532,0.03577162622076104,5.371994933963171e-07,1.8469531677770974,0.12785447546002104,2.119171271470628,0.0
5,0.01,-3.3801748594721904e-07,-1.2621956297788095e-05,0.9999848235167312,-0.00010449462736160533,-0.0035153147122680083,-0.0014775671340726013,0.9997029642739528,0.02437167528856161,6.82833702056721e-05,1.6978725536788265e-06,-0.2682050203718351,0.042586415341790564,9.324231623593115e-07,1.8593258329205113,0.11770115788585422,2.1064725533150783,0.0
6,0.012,-4.5634059823131725e-07,-1.6681228169669114e-05,0.9999837063434722,-0.00011832311228409822,-0.0040592718718810185,-0.0011171732590492993,0.9997064529048976,0.024228071277632587,9.261305171790019e-05,2.3015400581902505e-06,-0.28729275921580516,0.048674345615894815,1.4428138326430845e-06,1.8707427253966544,0.10836407466247766,2.0947459140023694,0.0
7,0.014,-5.863187934286861e-07,-2.1276166181326676e-05,0.9999829277824289,-0.00012997819519736887,-0.004594938011657561,-0.0007785610432895821,0.9997101291035453,0.02407578540637161,0.00011964952010425435,2.9719242926940024e-06,-0.3046604717144363,0.054089568325124585,2.0676836274775535e-06,1.8812769487395304,0.09977877388485812,2.0839169814275404,0.0
8,0.016,-7.258507850724524e-07,-2.6398736029168915e-05,0.9999824678035604,-0.00013953199164376632,-0.00512256984784224,-0.0004599788685873301,0.9997139697666115,0.023915610267512922,0.0001490815746367615,3.7013138684869054e-06,-0.32044235247463726,0.05888220057697848,2.8040506773905958e-06,1.8909959682844797,0.09188578843640904,2.0739171234834677,0.0
9,0.018,-8.729044828734982e-07,-3.204114302661733e-05,0.9999823079888408,-0.00014705369780104578,-0.005642406997448414,-0.00015981471953210603,0.9997179535829526,0.023748276564864945,0.0001806212029928874,4.482611514540125e-06,-0.33476223219461043,0.06309863574472721,3.647188662903809e-06,1.8999620474864105,0.08463025117022416,2.0646830033737302,0.0
