step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,motor_0,motor_1,motor_2,motor_3
0,0.0,-0.49919771187102036,-0.4992012487138504,0.5003978650991847,0.8022881289796617,0.7987512861495631,0.3978650991847648,0.9810717837386423,0.07391561508801206,0.10024522632735114,0.14827518874247694,-0.18598491508591028,-0.17048962439947232,-1.9504835880546724e-17,0.0,3.2384116405403933,0.0,0.0
1,0.002,-0.4983922868839403,-0.49840379617000685,0.5007989676561436,0.8054249870800181,0.7974525438435522,0.40110255695892344,0.9810897397462813,0.073882390417216,0.1001009290404715,0.1482704250889101,-0.1096823810237741,-0.2775834304855896,-1.4169040641603764e-06,1.6814097078368024,2.0342258904682673,0.0,1.6814097078368024
2,0.004,-0.4975837495821796,-0.49760764522192336,0.5012031513331462,0.8085373017607262,0.7961509480834967,0.4041836770025772,0.98111071750298,0.07388989476246499,0.09990760209963943,0.14825826956861216,-0.04327067928761329,-0.38756344717192986,-2.7773934599659864e-06,1.6227142645883696,2.089054168319707,0.0,1.6227142645883696
3,0.006,-0.49677212416379335,-0.4968127997269624,0.5016102707951161,0.811625418386235,0.7948454949609238,0.4071194619699544,0.9811351587561998,0.0739338231970961,0.09966325129032308,0.14823908520410037,0.013964664327078553,-0.5002147036799774,-3.526771959355146e-06,1.5681982268591845,2.1398018562006964,0.0,1.5681982268591845
4,0.008,-0.4959574346234721,-0.4960192644221021,0.5020201909402879,0.8146895403212924,0.7935353048602994,0.4099201451717853,0.981163457995393,0.0740101802331135,0.09936602838192074,0.1482132056194307,0.06268698742914358,-0.6153374366364254,-3.214630162190541e-06,1.517561118960805,2.186757999303763,0.0,1.517561118960805
5,0.01,-0.495139704883206,-0.49522704481535057,0.5024327861878886,0.8177297402660368,0.7922196067515138,0.41259524760061483,0.9811959654922248,0.07411525759205059,0.09901422078631397,0.14818093661440834,0.1035121833920414,-0.732745986702088,-1.490954531170787e-06,1.4705243827370262,2.2301906721860276,0.0,1.4705243827370262
6,0.012,-0.49431895891285094,-0.494436147090548,0.5028479398182794,0.8207459703550863,0.7908977248025786,0.41515363039074865,0.981232989928829,0.07424561359747264,0.0986062419489633,0.1481425576448821,0.13701218118665004,-0.8522677807494007,1.8983430120064877e-06,1.4268296841826964,2.27034860315658,0.0,1.4268296841826964
7,0.014,-0.49349522084160674,-0.4936465780237871,0.5032655433612816,0.8237380712441886,0.7895690667609104,0.4176035430022501,0.9812748006775395,0.0743980540524375,0.09814062241724422,0.14809832321812716,0.16371812862511298,-0.9737423938073442,7.116294241726603e-06,1.3862373365103684,2.3074626892338443,0.0,1.3862373365103684
8,0.016,-0.492668515061285,-0.49285834490992164,0.5036854960288372,0.8267057803217184,0.7882331138654334,0.41995266755551247,0.9813216297856062,0.07456961448101757,0.09761600153618585,0.14804846421074597,0.1841233135995779,-1.0970206830268971,1.4239993943563986e-05,1.348524876270008,2.3417473642601188,0.0,1.348524876270008
9,0.018,-0.4918388663221337,-0.49207145549780495,0.5041077041885307,0.8296487391513205,0.7868894121166811,0.42220815969353714,0.9813736737094976,0.07475754363306757,0.09703111972749202,0.14799318911457685,0.19868586625616486,-1.221963986930398,2.326584870992239e-05,1.3134857725756413,2.373401839298225,0.0,1.3134857725756413
10,0.02,-0.49100629982188865,-0.49128591793309007,0.504532080874808,0.8325665002450345,0.785537564714878,0.42437668627733277,0.9814310948365456,0.07495928815972962,0.0963848113111597,0.14793268521539601,0.20783126066216706,-1.348443384406291,3.411485882408371e-05,1.2809282460446272,2.402611238011617,0.0,1.2809282460446272
11,0.022,-0.49017084128863747,-0.4905017407075869,0.5049585453349964,0.835458533251169,0.7841772255031422,0.4264644601883796,0.9814940228258724,0.07517247837467217,0.0956759978321255,0.1478671197086141,0.21195463265264652,-1.476339008468623,4.663785683695559e-05,1.250674186323562,2.4295476375771026,0.0,1.2506741863235622
