step,time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,motor_0,motor_1,motor_2,motor_3
0,0.0,0.30099566049420345,-0.3000027946632039,1.4996966366765043,0.9956604942034839,-0.0027946632039304808,-0.30336332349559775,0.9256751263987755,0.22334035433919688,-0.19334405913178584,-0.2363529591282862,-0.18836683321052053,0.17267309356000884,3.264857052284373e-18,0.0,0.0,3.2798861406523456,0.0
1,0.002,0.3019839539811838,-0.30001080017169024,1.4993960393393357,0.9882934869803405,-0.008005508486324359,-0.30059733716862186,0.9257315301893783,0.22321337277907782,-0.1932100873426684,-0.23636155858104105,-0.32693639441873934,0.20597323795440495,1.4534291881319232e-06,0.0,2.7718411403759413,1.5226702544194173,1.8817030401407988
2,0.004,0.3029649665952797,-0.300023946785321,1.4990980859335588,0.9810126140959363,-0.013146613630777383,-0.29795340577691637,0.9258057562270928,0.2230296399216128,-0.19304510937198507,-0.23637907521769924,-0.4580687744880175,0.23945839541941497,4.462544479710883e-06,0.0,2.7375306922300933,1.4596826481805794,1.9138959041775419
3,0.006,0.3039387823934008,-0.3000421667030552,1.4988026602949678,0.9738157981210531,-0.01821991773420877,-0.29542563859089993,0.9258969856706005,0.22279237438029328,-0.19284992334568354,-0.23640481574970254,-0.5822313101359465,0.27298047222883204,9.364005023754842e-06,0.0,2.7058902963305953,1.3993588470855314,1.9432822788428599
4,0.008,0.3049054835053088,-0.30006539396066556,1.4985096517305654,0.9667011119080462,-0.02322725761034601,-0.29300856440232004,0.9260044265328573,0.22250457508451882,-0.1926253377351509,-0.23643814279940262,-0.6998595052234676,0.30640190713848947,1.6466188456358904e-05,0.0,2.6767350307240925,1.3415214924457342,1.9700546714308633
5,0.01,0.30586515027276545,-0.300093564330819,1.4982189546297335,0.9596667674566501,-0.028170370153461584,-0.2906971008319319,0.9261273129116467,0.22216903673608063,-0.1923721705959253,-0.23647847127175592,-0.8113588886442642,0.3395951874375539,2.604842903192062e-05,0.0,2.649890315183275,1.2860048373180923,1.9943951245784508
6,0.012,0.3068178613779601,-0.300126615226123,1.497930468104012,0.9527111051946434,-0.033050895303964135,-0.2884865257214875,0.9262649041555802,0.2217883643252384,-0.19209124877367748,-0.23652526487493508,-0.9171067997738224,0.3724423734290112,3.836073101772585e-05,0.0,2.6251915469996896,1.2326541913206697,2.0164755671508
7,0.014,0.30776369396165215,-0.3001644856056053,1.4976440956535468,0.9458325836920664,-0.037870379482321914,-0.286372450465221,0.9264164839892032,0.22136498674962296,-0.19178340708677508,-0.23657803279385367,-1.017454100509514,0.4048346332325756,5.3623865317371086e-05,0.0,2.6024837252599466,1.1813253756146,2.03645817949754
8,0.016,0.3087027237314749,-0.30020711588498206,1.4973597448583993,0.939029769822749,-0.04263027937673279,-0.2843507951474532,0.9265813596166651,0.22090116957856476,-0.19144948749333063,-0.2366363265187635,-1.1127268134811321,0.4366717894511693,7.20297715283061e-05,0.0,2.581621067398925,1.131884189403209,2.054495768820808
9,0.018,0.3096350250608574,-0.30025444785096866,1.497077327093036,0.9323013293825101,-0.04733196598660633,-0.2824177653633336,0.9267588608197749,0.22039902700465733,-0.19109033824940644,-0.23669973682951176,-1.2032276864964722,0.4678618789293756,9.37422000350271e-05,0.0,2.5624666214033116,1.0842058891333304,2.0707321508899135
10,0.02,0.3105606710790269,-0.3003064245798072,1.4967967572624268,0.9256460181695086,-0.0519767288385306,-0.280569830609232,0.9269483390631609,0.21986053302344083,-0.19070681306398693,-0.23676789093471362,-1.2892376837138733,0.49832072655456766,0.00011889753947858,0.0,2.544891876645317,1.038174681420541,2.085302534773418
11,0.022,0.31147973375255567,-0.30036299036011144,1.4965179535582889,0.9190626735287598,-0.056565780304223476,-0.2788037041378743,0.9271491666165946,0.2192875318810577,-0.19029977025541356,-0.23684044976397936,-1.3710174044066994,0.5279715338078264,0.00014760578420098074,0.0,2.5287763759642514,0.9936832305785404,2.0983339076879686
